id_fecha,fecha_completa,mes,anio
20260802,2026-08-02,8,2026
20260813,2026-08-13,8,2026
20260825,2026-08-25,8,2026
20260819,2026-08-19,8,2026
20260822,2026-08-22,8,2026
20260828,2026-08-28,8,2026
20260826,2026-08-26,8,2026
20260831,2026-08-31,8,2026
20260801,2026-08-01,8,2026
20260818,2026-08-18,8,2026
20260806,2026-08-06,8,2026
20260814,2026-08-14,8,2026
20260810,2026-08-10,8,2026
20260820,2026-08-20,8,2026
20260817,2026-08-17,8,2026
20260823,2026-08-23,8,2026
20260827,2026-08-27,8,2026
20260808,2026-08-08,8,2026
20260809,2026-08-09,8,2026
20260805,2026-08-05,8,2026
20260815,2026-08-15,8,2026
20260811,2026-08-11,8,2026
20260824,2026-08-24,8,2026
20260803,2026-08-03,8,2026
20260807,2026-08-07,8,2026
20260816,2026-08-16,8,2026
20260812,2026-08-12,8,2026
20260830,2026-08-30,8,2026
20260821,2026-08-21,8,2026
20260804,2026-08-04,8,2026
20260829,2026-08-29,8,2026
20260903,2026-09-03,9,2026
20260918,2026-09-18,9,2026
20260916,2026-09-16,9,2026
20260927,2026-09-27,9,2026
20260909,2026-09-09,9,2026
20260917,2026-09-17,9,2026
20260923,2026-09-23,9,2026
20260921,2026-09-21,9,2026
20260924,2026-09-24,9,2026
20260908,2026-09-08,9,2026
20260914,2026-09-14,9,2026
20260913,2026-09-13,9,2026
20260925,2026-09-25,9,2026
20260915,2026-09-15,9,2026
20260920,2026-09-20,9,2026
20260907,2026-09-07,9,2026
20260930,2026-09-30,9,2026
20260906,2026-09-06,9,2026
20260919,2026-09-19,9,2026
20260928,2026-09-28,9,2026
20260910,2026-09-10,9,2026
20260902,2026-09-02,9,2026
20260905,2026-09-05,9,2026
20260904,2026-09-04,9,2026
20260911,2026-09-11,9,2026
20260929,2026-09-29,9,2026
20260901,2026-09-01,9,2026
20260926,2026-09-26,9,2026
20260912,2026-09-12,9,2026
20260922,2026-09-22,9,2026
